group_id,cluster_id,muscle,W_value
global_step,0,TA,0.09618524390747309
global_step,0,EHL,0.15174447690990314
global_step,0,MG,0.06221134876520669
global_step,0,SOL,0.07273042175751478
global_step,0,PL,0.10984950492892712
global_step,0,RF,0.08059845231290531
global_step,0,VL,0.06197989797055663
global_step,0,ST,0.08576169643448926
global_step,0,RA,0.30768297911178977
global_step,0,EO,0.7968097172575584
global_step,0,IO,0.3702203897056674
global_step,0,SCM,0.15646524637272935
global_step,0,GM,0.08438059332401396
global_step,0,ESC,0.1571495108386302
global_step,0,EST,0.05873688079707015
global_step,0,ESL,0.049166248196150626
global_step,1,TA,0.08448689464312019
global_step,1,EHL,0.12774645339586752
global_step,1,MG,0.0754137065291586
global_step,1,SOL,0.10265264295186907
global_step,1,PL,0.10670271737780675
global_step,1,RF,0.08166648330146553
global_step,1,VL,0.12235933375735691
global_step,1,ST,0.06806731195594515
global_step,1,RA,0.18449397006949772
global_step,1,EO,0.16696507880103234
global_step,1,IO,0.18917556201750169
global_step,1,SCM,0.8181792838152911
global_step,1,GM,0.19108965163638952
global_step,1,ESC,0.33227986537781146
global_step,1,EST,0.07043113683946822
global_step,1,ESL,0.06043476599679769
global_step,2,TA,0.3179748397434002
global_step,2,EHL,0.30430601101129834
global_step,2,MG,0.03979028908325027
global_step,2,SOL,0.19116461763484904
global_step,2,PL,0.31675565281985246
global_step,2,RF,0.5167389146972491
global_step,2,VL,0.5103070399209292
global_step,2,ST,0.07174512415149067
global_step,2,RA,0.19204437870154253
global_step,2,EO,0.09298150582152123
global_step,2,IO,0.16233685029612557
global_step,2,SCM,0.162494726141791
global_step,2,GM,0.09022673445230815
global_step,2,ESC,0.15347870224307572
global_step,2,EST,0.06383923459330594
global_step,2,ESL,0.034530726813693985
global_step,3,TA,0.18641952354468372
global_step,3,EHL,0.17613127269088444
global_step,3,MG,0.04031159064093052
global_step,3,SOL,0.1401917846016542
global_step,3,PL,0.21969670663648866
global_step,3,RF,0.07651781755830174
global_step,3,VL,0.13066363798393854
global_step,3,ST,0.15303227051012347
global_step,3,RA,0.12134746660570865
global_step,3,EO,0.14563549539198317
global_step,3,IO,0.19621036164612082
global_step,3,SCM,0.13000722764458256
global_step,3,GM,0.8309996443726889
global_step,3,ESC,0.12339733950612072
global_step,3,EST,0.08151318059268706
global_step,3,ESL,0.12069089613758584
global_step,4,TA,0.2904605828255657
global_step,4,EHL,0.18040960781492052
global_step,4,MG,0.08154252032431113
global_step,4,SOL,0.09577388563420204
global_step,4,PL,0.21875333614961573
global_step,4,RF,0.07693112954235565
global_step,4,VL,0.20457952796880752
global_step,4,ST,0.19074245682611904
global_step,4,RA,0.07244770189489495
global_step,4,EO,0.15622604561511502
global_step,4,IO,0.11181960875208538
global_step,4,SCM,0.09235258006683457
global_step,4,GM,0.07559109649007281
global_step,4,ESC,0.23113813365939206
global_step,4,EST,0.7494554841722899
global_step,4,ESL,0.2524798414373586
global_step,5,TA,0.49106003875894094
global_step,5,EHL,0.6986134165504484
global_step,5,MG,0.048862069669181225
global_step,5,SOL,0.25260188305252324
global_step,5,PL,0.3195233020562041
global_step,5,RF,0.12249975569120716
global_step,5,VL,0.14652193617647527
global_step,5,ST,0.04572076141021768
global_step,5,RA,0.05602962343303764
global_step,5,EO,0.10401646774378052
global_step,5,IO,0.10918026955786081
global_step,5,SCM,0.14563222682124802
global_step,5,GM,0.07647731665726855
global_step,5,ESC,0.07012642420755262
global_step,5,EST,0.058959795417335294
global_step,5,ESL,0.051118969523361715
global_step,6,TA,0.3493311244569979
global_step,6,EHL,0.4008332993790234
global_step,6,MG,0.2203838753790156
global_step,6,SOL,0.5532852497196099
global_step,6,PL,0.4141402248002904
global_step,6,RF,0.09608002030974883
global_step,6,VL,0.1243951666256979
global_step,6,ST,0.15586958912886859
global_step,6,RA,0.12188550954894137
global_step,6,EO,0.14545778247058255
global_step,6,IO,0.25530150654732503
global_step,6,SCM,0.06434762257250352
global_step,6,GM,0.06485521800023354
global_step,6,ESC,0.11352866026515099
global_step,6,EST,0.10095282331877643
global_step,6,ESL,0.09733386296636645
global_step,7,TA,0.06356372384608715
global_step,7,EHL,0.06528073239642458
global_step,7,MG,0.017677632688162442
global_step,7,SOL,0.09688134626929182
global_step,7,PL,0.10458573372514166
global_step,7,RF,0.5490683268649864
global_step,7,VL,0.5795251319589055
global_step,7,ST,0.10883871288540281
global_step,7,RA,0.1525218369739127
global_step,7,EO,0.07466165914531409
global_step,7,IO,0.15203451160160789
global_step,7,SCM,0.2924509185232259
global_step,7,GM,0.35749517430011984
global_step,7,ESC,0.0658240673121099
global_step,7,EST,0.0658827644490833
global_step,7,ESL,0.21893991202253563
global_step,8,TA,0.05380857643025433
global_step,8,EHL,0.07868844608908682
global_step,8,MG,0.020015994528723574
global_step,8,SOL,0.0928726886002661
global_step,8,PL,0.11055647054398227
global_step,8,RF,0.35574233644861586
global_step,8,VL,0.43373960235678427
global_step,8,ST,0.1460348302475345
global_step,8,RA,0.019072960925301474
global_step,8,EO,0.5170220703859685
global_step,8,IO,0.38914342091748944
global_step,8,SCM,0.06604765931002975
global_step,8,GM,0.3552451204065621
global_step,8,ESC,0.2597559004198416
global_step,8,EST,0.07844710254248813
global_step,8,ESL,0.10177704107238271
global_step,9,TA,0.7762460513954327
global_step,9,EHL,0.32364344311603965
global_step,9,MG,0.054679433909928146
global_step,9,SOL,0.15264580449629758
global_step,9,PL,0.4137945798315889
global_step,9,RF,0.06876734554309921
global_step,9,VL,0.1262844499437236
global_step,9,ST,0.04721567609788893
global_step,9,RA,0.028596325517302658
global_step,9,EO,0.1916914851940838
global_step,9,IO,0.07325843538785373
global_step,9,SCM,0.04835819715483021
global_step,9,GM,0.08808789276518221
global_step,9,ESC,0.10582823430213237
global_step,9,EST,0.08071117209567123
global_step,9,ESL,0.039145224166251
global_step,10,TA,0.12856185255202857
global_step,10,EHL,0.1219092551102556
global_step,10,MG,0.3442728460717645
global_step,10,SOL,0.13859231019601542
global_step,10,PL,0.10751811482465871
global_step,10,RF,0.017063765333606457
global_step,10,VL,0.04400224436453166
global_step,10,ST,0.7521291456753563
global_step,10,RA,0.10517994230414175
global_step,10,EO,0.20844434037648235
global_step,10,IO,0.18144098479183832
global_step,10,SCM,0.12756281561516852
global_step,10,GM,0.1563518641596965
global_step,10,ESC,0.11276408105850326
global_step,10,EST,0.14756072878126092
global_step,10,ESL,0.29791243334768164
global_step,11,TA,0.12578024200575116
global_step,11,EHL,0.1536477651781353
global_step,11,MG,0.10770458809837123
global_step,11,SOL,0.05640276386680199
global_step,11,PL,0.10554064981868441
global_step,11,RF,0.03686847309380189
global_step,11,VL,0.07960620894805452
global_step,11,ST,0.22114261648174768
global_step,11,RA,0.033572156865010055
global_step,11,EO,0.10940093483034453
global_step,11,IO,0.06628657940880665
global_step,11,SCM,0.023638268131737934
global_step,11,GM,0.08474817365171014
global_step,11,ESC,0.0832733109421482
global_step,11,EST,0.44049502486546654
global_step,11,ESL,0.8073722374069384
global_step,12,TA,0.13722697998896335
global_step,12,EHL,0.096635178557238
global_step,12,MG,0.05542896779293599
global_step,12,SOL,0.11865515090289153
global_step,12,PL,0.14749895283862247
global_step,12,RF,0.0804295663390238
global_step,12,VL,0.09546050961913989
global_step,12,ST,0.07181446154260865
global_step,12,RA,0.31974819205686567
global_step,12,EO,0.25671461384742483
global_step,12,IO,0.839992958170313
global_step,12,SCM,0.092543173045941
global_step,12,GM,0.13225480483571955
global_step,12,ESC,0.07322660260190852
global_step,12,EST,0.05216806952792903
global_step,12,ESL,0.06569183175976225
