pipeline_name,state_name,label_space,group_id,k,cluster_label,duplicate_incident_units,units_total,units_with_cluster_present,cluster_wise_duplicate_incidence
paper_like,state1_paper_like_unconstrained,canonical_label,global_nonstep,6,match_00,4,72,36,0.05555555555555555
paper_like,state1_paper_like_unconstrained,canonical_label,global_nonstep,6,match_01,2,72,43,0.027777777777777776
paper_like,state1_paper_like_unconstrained,canonical_label,global_nonstep,6,match_02,2,72,31,0.027777777777777776
paper_like,state1_paper_like_unconstrained,canonical_label,global_nonstep,6,match_03,0,72,28,0.0
paper_like,state1_paper_like_unconstrained,canonical_label,global_nonstep,6,match_04,0,72,40,0.0
paper_like,state1_paper_like_unconstrained,canonical_label,global_nonstep,6,match_05,19,72,65,0.2638888888888889
paper_like,state1_paper_like_unconstrained,canonical_label,global_step,11,global_step_raw_4,0,53,10,0.0
paper_like,state1_paper_like_unconstrained,canonical_label,global_step,11,match_00,1,53,25,0.018867924528301886
paper_like,state1_paper_like_unconstrained,canonical_label,global_step,11,match_01,0,53,20,0.0
paper_like,state1_paper_like_unconstrained,canonical_label,global_step,11,match_02,0,53,15,0.0
paper_like,state1_paper_like_unconstrained,canonical_label,global_step,11,match_03,0,53,16,0.0
paper_like,state1_paper_like_unconstrained,canonical_label,global_step,11,match_04,0,53,27,0.0
paper_like,state1_paper_like_unconstrained,canonical_label,global_step,11,match_05,1,53,29,0.018867924528301886
paper_like,state1_paper_like_unconstrained,canonical_label,global_step,11,step_common_unmatched_10,0,53,19,0.0
paper_like,state1_paper_like_unconstrained,canonical_label,global_step,11,step_common_unmatched_5,1,53,18,0.018867924528301886
paper_like,state1_paper_like_unconstrained,canonical_label,global_step,11,step_common_unmatched_8,0,53,23,0.0
paper_like,state1_paper_like_unconstrained,canonical_label,global_step,11,step_common_unmatched_9,0,53,28,0.0
paper_like,state1_paper_like_unconstrained,raw_group_label,global_nonstep,6,0,4,72,36,0.05555555555555555
paper_like,state1_paper_like_unconstrained,raw_group_label,global_nonstep,6,1,19,72,65,0.2638888888888889
paper_like,state1_paper_like_unconstrained,raw_group_label,global_nonstep,6,2,0,72,40,0.0
paper_like,state1_paper_like_unconstrained,raw_group_label,global_nonstep,6,3,2,72,43,0.027777777777777776
paper_like,state1_paper_like_unconstrained,raw_group_label,global_nonstep,6,4,0,72,28,0.0
paper_like,state1_paper_like_unconstrained,raw_group_label,global_nonstep,6,5,2,72,31,0.027777777777777776
paper_like,state1_paper_like_unconstrained,raw_group_label,global_step,11,0,1,53,25,0.018867924528301886
paper_like,state1_paper_like_unconstrained,raw_group_label,global_step,11,1,0,53,20,0.0
paper_like,state1_paper_like_unconstrained,raw_group_label,global_step,11,10,0,53,19,0.0
paper_like,state1_paper_like_unconstrained,raw_group_label,global_step,11,2,0,53,15,0.0
paper_like,state1_paper_like_unconstrained,raw_group_label,global_step,11,3,0,53,16,0.0
paper_like,state1_paper_like_unconstrained,raw_group_label,global_step,11,4,0,53,10,0.0
paper_like,state1_paper_like_unconstrained,raw_group_label,global_step,11,5,1,53,18,0.018867924528301886
paper_like,state1_paper_like_unconstrained,raw_group_label,global_step,11,6,0,53,27,0.0
paper_like,state1_paper_like_unconstrained,raw_group_label,global_step,11,7,1,53,29,0.018867924528301886
paper_like,state1_paper_like_unconstrained,raw_group_label,global_step,11,8,0,53,23,0.0
paper_like,state1_paper_like_unconstrained,raw_group_label,global_step,11,9,0,53,28,0.0
production,state2_production_pre_forced,raw_group_label,global_nonstep,5,0,4,72,52,0.05555555555555555
production,state2_production_pre_forced,raw_group_label,global_nonstep,5,1,9,72,66,0.125
production,state2_production_pre_forced,raw_group_label,global_nonstep,5,2,2,72,39,0.027777777777777776
production,state2_production_pre_forced,raw_group_label,global_nonstep,5,3,4,72,45,0.05555555555555555
production,state2_production_pre_forced,raw_group_label,global_nonstep,5,4,0,72,39,0.0
production,state2_production_pre_forced,raw_group_label,global_step,7,0,11,53,47,0.20754716981132076
production,state2_production_pre_forced,raw_group_label,global_step,7,1,0,53,17,0.0
production,state2_production_pre_forced,raw_group_label,global_step,7,2,0,53,29,0.0
production,state2_production_pre_forced,raw_group_label,global_step,7,3,0,53,18,0.0
production,state2_production_pre_forced,raw_group_label,global_step,7,4,1,53,35,0.018867924528301886
production,state2_production_pre_forced,raw_group_label,global_step,7,5,1,53,27,0.018867924528301886
production,state2_production_pre_forced,raw_group_label,global_step,7,6,8,53,31,0.1509433962264151
production,state3_production_post_forced,raw_group_label,global_nonstep,5,0,0,72,54,0.0
production,state3_production_post_forced,raw_group_label,global_nonstep,5,1,0,72,67,0.0
production,state3_production_post_forced,raw_group_label,global_nonstep,5,2,0,72,47,0.0
production,state3_production_post_forced,raw_group_label,global_nonstep,5,3,0,72,48,0.0
production,state3_production_post_forced,raw_group_label,global_nonstep,5,4,0,72,44,0.0
production,state3_production_post_forced,raw_group_label,global_step,7,0,0,53,47,0.0
production,state3_production_post_forced,raw_group_label,global_step,7,1,0,53,23,0.0
production,state3_production_post_forced,raw_group_label,global_step,7,2,0,53,33,0.0
production,state3_production_post_forced,raw_group_label,global_step,7,3,0,53,19,0.0
production,state3_production_post_forced,raw_group_label,global_step,7,4,0,53,36,0.0
production,state3_production_post_forced,raw_group_label,global_step,7,5,0,53,37,0.0
production,state3_production_post_forced,raw_group_label,global_step,7,6,0,53,31,0.0
